title_year,title,year,description,language,genres,stars,formatted_length,ratings,votes
Pardon (2005),Pardon,2005,,,"Comedy , Drama",,0,7.8,2705
When the Wind Blows (1986),When the Wind Blows,1986,,,"Animation , Comedy , Drama , War",,80,7.8,2700
Kaybedenler Kul\xfcb\xfc (2011),Kaybedenler Kul\xfcb\xfc,2011,,,"Comedy , Drama",,105,7.8,2680
Advise & Consent (1962),Advise & Consent,1962,,,Drama,,139,7.8,2659
The Narrow Margin (1952),The Narrow Margin,1952,,,"Crime , Film-Noir , Thriller",,71,7.8,2563
Jane Eyre (2011),Jane Eyre,2011,,,"Drama , Romance",,120,7.8,2559
The Ballad of Narayama (1983),The Ballad of Narayama,1983,,,"Drama , Music",,130,7.8,2533
The Rocket: The Legend of Rocket Richard (2005),The Rocket: The Legend of Rocket Richard,2005,,,"Biography , Drama , Sport",,124,7.8,2519
The Taste of Tea (2004),The Taste of Tea,2004,,,"Comedy , Drama",,143,7.8,2510
This Sporting Life (1963),This Sporting Life,1963,,,"Drama , Sport",,134,7.8,2499
Opening Night (1977),Opening Night,1977,,,Drama,,144,7.8,2514
Oye Lucky! Lucky Oye! (2008),Oye Lucky! Lucky Oye!,2008,,,"Comedy , Crime , Drama",,0,7.8,2443
Accattone! (1961),Accattone!,1961,,,Drama,,120,7.8,2372
Samurai III: Duel at Ganryu Island (1956),Samurai III: Duel at Ganryu Island,1956,,,"Action , Adventure , Biography , Drama , History",,105,7.8,2351
Welcome to Dongmakgol (2005),Welcome to Dongmakgol,2005,,,"Comedy , Drama , War",,133,7.8,2321
Veronika Voss (1982),Veronika Voss,1982,,,Drama,,104,7.8,2222
Le Notti Bianche (1957),Le Notti Bianche,1957,,,"Drama , Romance",,107,7.8,2182
Arabesque (1989),Arabesque,1989,,,"Comedy , Musical",,105,7.8,2163
Failan (2001),Failan,2001,,,"Drama , Romance",,115,7.8,2147
Sword of the Stranger (2007),Sword of the Stranger,2007,,,"Animation , Action , Adventure",,103,7.8,2128
Long Day's Journey Into Night (1962),Long Day's Journey Into Night,1962,,,Drama,,174,7.8,2130
Hobson's Choice (1954),Hobson's Choice,1954,,,"Comedy , Drama , Romance",,107,7.8,2113
In the Name of God (2007),In the Name of God,2007,,,"Crime , Drama , Thriller",,168,7.8,2107
The Fire Within (1963),The Fire Within,1963,,,Drama,,108,7.8,2060
El (1953),El,1953,,,"Drama , Romance",,92,7.8,2055
Glass Tiger (2001),Glass Tiger,2001,,,Comedy,,100,7.8,2056
Destiny (2006),Destiny,2006,,,Drama,,103,7.8,2038
A Chinese Odyssey Part Two: Cinderella (1994),A Chinese Odyssey Part Two: Cinderella,1994,,,"Action , Adventure , Comedy , Fantasy , Romance",,95,7.8,2006
Gulaal (2009),Gulaal,2009,,,"Crime , Drama , Thriller",,140,7.8,2015
Be with You (2004),Be with You,2004,,,"Drama , Fantasy , Romance",,119,7.8,1940
Ice Cold in Alex (1958),Ice Cold in Alex,1958,,,"Adventure , War , Drama",,129,7.8,1834
Miracle in Milan (1951),Miracle in Milan,1951,,,"Drama , Fantasy , Comedy",,100,7.8,1836
The Witness (1969),The Witness,1969,,,"Drama , Comedy",,105,7.8,1767
"America, America (1963)","America, America",1963,,,"Drama , Romance",,174,7.8,1722
The Plague Dogs (1982),The Plague Dogs,1982,,,"Adventure , Animation , Drama",,103,7.8,1682
Tales from the Golden Age (2009),Tales from the Golden Age,2009,,,"Comedy , History",,155,7.8,1677
Camera Buff (1979),Camera Buff,1979,,,Drama,,117,7.8,1676
Comrades: Almost a Love Story (1996),Comrades: Almost a Love Story,1996,,,"Drama , Romance",,0,7.8,1673
Mon oncle d'Am\xe9rique (1980),Mon oncle d'Am\xe9rique,1980,,,"Comedy , Drama , Romance",,125,7.8,1667
Dasvidaniya (2008),Dasvidaniya,2008,,,"Comedy , Drama",,0,7.8,1643
Billy Budd (1962),Billy Budd,1962,,,"Adventure , Drama",,119,7.8,1621
The Rest is Silence (2007),The Rest is Silence,2007,,,"Comedy , Drama",,114,7.8,1602
Requiem for a Heavyweight (1962),Requiem for a Heavyweight,1962,,,"Drama , Sport",,95,7.8,1598
Fox and His Friends (1975),Fox and His Friends,1975,,,"Drama , Crime , Romance",,123,7.8,1547
This Man Must Die (1969),This Man Must Die,1969,,,"Drama , Crime , Thriller",,110,7.8,1544
Il Grido (1957),Il Grido,1957,,,Drama,,116,7.8,1459
Shake Hands with the Devil (2007),Shake Hands with the Devil,2007,,,"Drama , History , War",,112,7.8,1434
Brainstorm (2001),Brainstorm,2001,,,Drama,,74,7.8,1362
Watchmen (2009),Watchmen,2009,,,"Action , Drama , Mystery , Sci-Fi , Thriller",,162,7.7,158180
Superbad (2007),Superbad,2007,,,Comedy,,113,7.7,156450
Minority Report (2002),Minority Report,2002,,,"Action , Crime , Mystery , Sci-Fi , Thriller",,145,7.7,154873
Saw (2004),Saw,2004,,,"Crime , Horror , Mystery , Thriller",,103,7.7,133680
Harry Potter and the Prisoner of Azkaban (2004),Harry Potter and the Prisoner of Azkaban,2004,,,"Adventure , Family , Fantasy , Mystery",,141,7.7,132426
The Last Samurai (2003),The Last Samurai,2003,,,"Action , Adventure , Drama , History , War",,154,7.7,125299
X2 (2003),X2,2003,,,"Action , Adventure , Sci-Fi , Thriller",,133,7.7,130640
Black Hawk Down (2001),Black Hawk Down,2001,,,"Action , Drama , History , War",,144,7.7,115096
Collateral (2004),Collateral,2004,,,"Crime , Drama , Thriller",,120,7.7,120089
The Illusionist (2006),The Illusionist,2006,,,"Drama , Mystery , Romance , Thriller",,110,7.7,110997
Equilibrium (2002),Equilibrium,2002,,,"Action , Drama , Sci-Fi , Thriller",,107,7.7,102608
Inside Man (2006),Inside Man,2006,,,"Crime , Drama , Thriller",,129,7.7,100328
Lord of War (2005),Lord of War,2005,,,"Crime , Drama , Thriller",,122,7.7,94466
Munich (2005),Munich,2005,,,"Drama , History , Thriller",,164,7.7,91407
Man on Fire (2004),Man on Fire,2004,,,"Action , Crime , Drama , Thriller",,146,7.7,89631
Kung Fu Panda (2008),Kung Fu Panda,2008,,,"Animation , Action , Adventure , Comedy , Family",,90,7.7,93481
Up in the Air (2009),Up in the Air,2009,,,"Drama , Romance",,109,7.7,86763
The Game (1997),The Game,1997,,,"Drama , Mystery , Thriller",,129,7.7,87638
Scott Pilgrim vs. the World (2010),Scott Pilgrim vs. the World,2010,,,"Action , Comedy , Fantasy , Romance",,112,7.7,85272
The Town (2010),The Town,2010,,,"Crime , Drama , Thriller",,125,7.7,78672
The Assassination of Jesse James by the Coward Robert Ford (2007),The Assassination of Jesse James by the Coward Robert Ford,2007,,,"Biography , Crime , Drama , History , Western",,160,7.7,66872
The Reader (2008),The Reader,2008,,,"Drama , Romance",,124,7.7,57954
When Harry Met Sally... (1989),When Harry Met Sally...,1989,,,"Comedy , Drama , Romance",,96,7.7,56998
A Fish Called Wanda (1988),A Fish Called Wanda,1988,,,"Comedy , Crime",,108,7.7,54725
Source Code (2011),Source Code,2011,,,"Mystery , Sci-Fi , Thriller",,93,7.7,53097
The Last of the Mohicans (1992),The Last of the Mohicans,1992,,,"Adventure , Romance , War",,112,7.7,51627
Blazing Saddles (1974),Blazing Saddles,1974,,,"Comedy , Western",,93,7.7,49935
Tombstone (1993),Tombstone,1993,,,"Action , Drama , History , Romance , Western",,130,7.7,48453
Ghost World (2001),Ghost World,2001,,,"Comedy , Drama",,111,7.7,47266
"Good Night, and Good Luck. (2005)","Good Night, and Good Luck.",2005,,,"Drama , History",,93,7.7,46479
[Rec] (2007),[Rec],2007,,,"Horror , Thriller",,78,7.7,45363
The Man Who Wasn't There (2001),The Man Who Wasn't There,2001,,,"Crime , Drama",,116,7.7,45018
Primal Fear (1996),Primal Fear,1996,,,"Crime , Drama , Mystery , Thriller",,129,7.7,44646
Reign Over Me (2007),Reign Over Me,2007,,,Drama,,124,7.7,43700
Billy Elliot (2000),Billy Elliot,2000,,,"Comedy , Drama , Music",,110,7.7,43714
The Girl with the Dragon Tattoo (2009),The Girl with the Dragon Tattoo,2009,,,"Crime , Drama , Mystery , Thriller",,152,7.7,43187
Y Tu Mam\xe1 Tambi\xe9n (2001),Y Tu Mam\xe1 Tambi\xe9n,2001,,,"Comedy , Drama",,106,7.7,40992
Doubt (2008),Doubt,2008,,,"Drama , Mystery",,104,7.7,42147
Star Trek II: The Wrath of Khan (1982),Star Trek II: The Wrath of Khan,1982,,,"Action , Adventure , Sci-Fi , Thriller",,113,7.7,39385
Empire of the Sun (1987),Empire of the Sun,1987,,,"Biography , Drama , War",,152,7.7,39083
Mary Poppins (1964),Mary Poppins,1964,,,"Comedy , Family , Fantasy , Musical",,139,7.7,38835
Dead Man (1995),Dead Man,1995,,,"Drama , Fantasy , Western",,121,7.7,36331
Volver (2006),Volver,2006,,,"Comedy , Crime , Drama , Mystery",,121,7.7,37133
Sense and Sensibility (1995),Sense and Sensibility,1995,,,"Drama , Romance",,136,7.7,33968
A Bronx Tale (1993),A Bronx Tale,1993,,,"Crime , Drama",,121,7.7,33910
House of Sand and Fog (2003),House of Sand and Fog,2003,,,Drama,,126,7.7,33124
October Sky (1999),October Sky,1999,,,"Biography , Drama , Family",,108,7.7,33031
West Side Story (1961),West Side Story,1961,,,"Crime , Drama , Musical , Romance",,152,7.7,32689
MASH (1970),MASH,1970,,,"Comedy , War , Drama",,116,7.7,31124
The Kite Runner (2007),The Kite Runner,2007,,,"Drama , Romance",,128,7.7,30766
Super 8 (2011),Super 8,2011,,,"Mystery , Sci-Fi , Thriller",,112,7.7,31297
Kramer vs. Kramer (1979),Kramer vs. Kramer,1979,,,Drama,,105,7.7,30361
Lolita (1962),Lolita,1962,,,"Drama , Romance",,152,7.7,30367
The City of Lost Children (1995),The City of Lost Children,1995,,,"Adventure , Comedy , Drama , Fantasy , Sci-Fi",,112,7.7,29717
Felon (2008),Felon,2008,,,"Crime , Drama",,104,7.7,28754
Dangerous Liaisons (1988),Dangerous Liaisons,1988,,,"Comedy , Drama , Romance",,119,7.7,27901
The Player (1992),The Player,1992,,,"Comedy , Crime , Drama , Mystery , Romance , Thriller",,124,7.7,25942
Malcolm X (1992),Malcolm X,1992,,,"Biography , Drama , History",,202,7.7,25577
The Wicker Man (1973),The Wicker Man,1973,,,"Horror , Musical , Mystery , Thriller",,88,7.7,22844
Lady Vengeance (2005),Lady Vengeance,2005,,,"Crime , Drama , Thriller",,112,7.7,22706
The Triplets of Belleville (2003),The Triplets of Belleville,2003,,,"Animation , Comedy",,78,7.7,22613
Whale Rider (2002),Whale Rider,2002,,,"Drama , Family",,101,7.7,22986
Control (2007),Control,2007,,,"Biography , Drama , Music",,122,7.7,22579
The King of Comedy (1982),The King of Comedy,1982,,,"Comedy , Crime , Drama",,109,7.7,22186
The Producers (1968),The Producers,1968,,,"Comedy , Music",,88,7.7,20857
Short Cuts (1993),Short Cuts,1993,,,"Comedy , Drama",,187,7.7,19990
Following (1998),Following,1998,,,"Crime , Drama , Mystery , Thriller",,69,7.7,19426
Three Colors: White (1994),Three Colors: White,1994,,,"Comedy , Drama , Mystery , Romance",,91,7.7,19384
Hamlet (1996),Hamlet,1996,,,"Crime , Drama , Romance , Thriller",,242,7.7,19698
Where Eagles Dare (1968),Where Eagles Dare,1968,,,"Action , Adventure , Drama , War",,158,7.7,17767
Forbidden Planet (1956),Forbidden Planet,1956,,,"Mystery , Sci-Fi",,98,7.7,17415
Night on Earth (1991),Night on Earth,1991,,,"Comedy , Drama",,129,7.7,16967
The Purple Rose of Cairo (1985),The Purple Rose of Cairo,1985,,,"Comedy , Fantasy , Romance",,82,7.7,16060
Il Postino: The Postman (1994),Il Postino: The Postman,1994,,,"Biography , Comedy , Drama , Romance",,108,7.7,16019
Hedwig and the Angry Inch (2001),Hedwig and the Angry Inch,2001,,,"Comedy , Drama , Music",,95,7.7,15815
Little Big Man (1970),Little Big Man,1970,,,"Adventure , Drama , History , War , Western",,139,7.7,15695
Withnail & I (1987),Withnail & I,1987,,,"Comedy , Drama",,107,7.7,15382
The Red Violin (1998),The Red Violin,1998,,,"Drama , Romance , Mystery , Music",,130,7.7,15612
The Barbarian Invasions (2003),The Barbarian Invasions,2003,,,"Comedy , Crime , Drama , Mystery , Romance",,99,7.7,15511
Zelig (1983),Zelig,1983,,,"Comedy , Fantasy",,79,7.7,15222
You Can Count on Me (2000),You Can Count on Me,2000,,,Drama,,111,7.7,14983
Giant (1956),Giant,1956,,,"Drama , Romance , Western",,201,7.7,13852
Paprika (2006),Paprika,2006,,,"Animation , Mystery , Sci-Fi , Thriller",,90,7.7,13939
Guess Who's Coming to Dinner (1967),Guess Who's Coming to Dinner,1967,,,"Drama , Romance",,108,7.7,13257
Love and Death (1975),Love and Death,1975,,,"Comedy , War",,85,7.7,13371
Romeo and Juliet (1968),Romeo and Juliet,1968,,,"Drama , Romance",,138,7.7,13309
Sophie's Choice (1982),Sophie's Choice,1982,,,"Drama , Romance",,150,7.7,13125
The Haunting (1963),The Haunting,1963,,,"Drama , Horror",,112,7.7,12724
The Odd Couple (1968),The Odd Couple,1968,,,"Comedy , Romance",,105,7.7,12399
The Verdict (1982),The Verdict,1982,,,Drama,,129,7.7,12350
The Dinner Game (1998),The Dinner Game,1998,,,Comedy,,80,7.7,12287
Interstate 60: Episodes of the Road (2002),Interstate 60: Episodes of the Road,2002,,,"Adventure , Comedy , Drama , Fantasy , Mystery , Sci-Fi , Thriller",,116,7.7,12263
Cowboy Bebop: The Movie (2001),Cowboy Bebop: The Movie,2001,,,"Animation , Action , Crime , Drama , Sci-Fi , Thriller",,116,7.7,12040
Picnic at Hanging Rock (1975),Picnic at Hanging Rock,1975,,,"Drama , Horror , Mystery , Thriller",,115,7.7,12128
Gettysburg (1993),Gettysburg,1993,,,"Drama , History , War",,261,7.7,12093
"Blood In, Blood Out (1993)","Blood In, Blood Out",1993,,,"Action , Crime , Drama , Thriller",,180,7.7,11562
The Class (2008),The Class,2008,,,Drama,,128,7.7,11385
The Taking of Pelham One Two Three (1974),The Taking of Pelham One Two Three,1974,,,"Crime , Drama , Thriller",,104,7.7,11375
Watership Down (1978),Watership Down,1978,,,"Animation , Adventure , Drama , Family",,101,7.7,10741
"Duck, You Sucker (1971)","Duck, You Sucker",1971,,,"War , Western",,157,7.7,10716
Joyeux Noel (2005),Joyeux Noel,2005,,,"Drama , Music , Romance , War",,116,7.7,10608
Deep Red (1975),Deep Red,1975,,,"Horror , Mystery , Thriller",,126,7.7,10287
Breaking Away (1979),Breaking Away,1979,,,"Comedy , Drama , Family , Sport",,101,7.7,10028
Nashville (1975),Nashville,1975,,,"Drama , Music",,159,7.7,9968
1900 (1976),1900,1976,,,"Drama , History",,0,7.7,9444
The Tin Drum (1979),The Tin Drum,1979,,,"Drama , War",,142,7.7,9572
A Bittersweet Life (2005),A Bittersweet Life,2005,,,"Action , Crime , Drama",,120,7.7,9222
The Shootist (1976),The Shootist,1976,,,"Drama , Western",,100,7.7,9162
Contempt (1963),Contempt,1963,,,Drama,,103,7.7,9037
Cell 211 (2009),Cell 211,2009,,,"Action , Drama",,113,7.7,8745
If.... (1968),If....,1968,,,Drama,,111,7.7,8448
My Life as a Dog (1985),My Life as a Dog,1985,,,"Drama , Comedy",,101,7.7,8387
Kikujiro (1999),Kikujiro,1999,,,"Drama , Comedy",,121,7.7,8356
McCabe & Mrs. Miller (1971),McCabe & Mrs. Miller,1971,,,"Drama , Western",,120,7.7,8199
Dolls (2002),Dolls,2002,,,"Drama , Romance",,114,7.7,7919
The Holy Mountain (1973),The Holy Mountain,1973,,,"Adventure , Comedy , Fantasy , Sci-Fi",,114,7.7,7781
Walkabout (1971),Walkabout,1971,,,"Adventure , Drama",,100,7.7,7866
Europa (1991),Europa,1991,,,"Drama , War",,112,7.7,7775
Eat Drink Man Woman (1994),Eat Drink Man Woman,1994,,,"Comedy , Romance , Drama",,124,7.7,7650
Kolya (1996),Kolya,1996,,,"Comedy , Drama , Music",,105,7.7,7480
Marty (1955),Marty,1955,,,"Drama , Romance",,90,7.7,7120
Nowhere in Africa (2001),Nowhere in Africa,2001,,,"Biography , Drama",,141,7.7,7077
Lupin the Third: The Castle of Cagliostro (1979),Lupin the Third: The Castle of Cagliostro,1979,,,"Animation , Adventure , Family",,110,7.7,6989
The Passenger (1975),The Passenger,1975,,,"Drama , Mystery , Romance , Thriller",,126,7.7,7038
Kiss Me Deadly (1955),Kiss Me Deadly,1955,,,"Crime , Drama , Film-Noir , Mystery , Thriller",,106,7.7,6849
Speak (2004),Speak,2004,,,Drama,,89,7.7,6820
Missing (1982),Missing,1982,,,"Drama , History , Mystery , Thriller",,122,7.7,6716
Zorba the Greek (1964),Zorba the Greek,1964,,,"Adventure , Drama",,142,7.7,6698
Splendor in the Grass (1961),Splendor in the Grass,1961,,,"Drama , Romance",,124,7.7,6791
The Road Home (2000),The Road Home,2000,,,"Drama , Romance",,89,7.7,6593
Europa Europa (1990),Europa Europa,1990,,,"Drama , History , War",,112,7.7,6582
The Many Adventures of Winnie the Pooh (1977),The Many Adventures of Winnie the Pooh,1977,,,"Family , Animation , Musical",,74,7.7,6237
Tokyo Godfathers (2003),Tokyo Godfathers,2003,,,"Adventure , Animation , Drama , Comedy",,0,7.7,6261
3:10 to Yuma (1957),3:10 to Yuma,1957,,,"Action , Adventure , Drama , Thriller , Western",,92,7.7,6023
In a Better World (2010),In a Better World,2010,,,"Drama , Thriller",,119,7.7,5787
Rory O'Shea Was Here (2004),Rory O'Shea Was Here,2004,,,"Comedy , Drama",,104,7.7,5791
The Incredible Shrinking Man (1957),The Incredible Shrinking Man,1957,,,"Sci-Fi , Thriller",,81,7.7,5525
The Sand Pebbles (1966),The Sand Pebbles,1966,,,"Drama , Romance , War",,182,7.7,5423
Imitation of Life (1959),Imitation of Life,1959,,,"Drama , Romance",,125,7.7,5358
Hour of the Wolf (1968),Hour of the Wolf,1968,,,"Drama , Horror",,90,7.7,5356
Johnny Guitar (1954),Johnny Guitar,1954,,,Western,,110,7.7,5272
The Defiant Ones (1958),The Defiant Ones,1958,,,"Crime , Drama , Thriller",,0,7.7,5032
L'Eclisse (1962),L'Eclisse,1962,,,"Drama , Romance",,126,7.7,5006
The Children's Hour (1961),The Children's Hour,1961,,,Drama,,107,7.7,5055
Auntie Mame (1958),Auntie Mame,1958,,,"Comedy , Drama",,143,7.7,4947
Survive Style 5+ (2004),Survive Style 5+,2004,,,"Fantasy , Mystery , Romance , Thriller",,120,7.7,4859
Beyond the Gates (2005),Beyond the Gates,2005,,,"Drama , History",,115,7.7,4863
La Notte (1961),La Notte,1961,,,Drama,,115,7.7,4679
Shelter (2007),Shelter,2007,,,"Drama , Romance , Sport",,97,7.7,4635
Brother (1997),Brother,1997,,,"Crime , Drama",,96,7.7,4246
After Life (1998),After Life,1998,,,"Drama , Fantasy",,118,7.7,4236
Un Coeur en Hiver (1992),Un Coeur en Hiver,1992,,,"Drama , Romance , Music",,105,7.7,4179
Only Yesterday (1991),Only Yesterday,1991,,,"Animation , Drama , Romance",,118,7.7,4138
Open Hearts (2002),Open Hearts,2002,,,"Drama , Romance",,113,7.7,4145
Curse of the Demon (1957),Curse of the Demon,1957,,,Horror,,95,7.7,4094
Jab We Met (2007),Jab We Met,2007,,,"Comedy , Romance",,138,7.7,4016
"Pretty Village, Pretty Flame (1996)","Pretty Village, Pretty Flame",1996,,,"Drama , War",,115,7.7,3864
Rock On!! (2008),Rock On!!,2008,,,"Drama , Music",,145,7.7,3823
In My Father's Den (2004),In My Father's Den,2004,,,"Mystery , Drama , Thriller",,127,7.7,3770
The Island (2006),The Island,2006,,,Drama,,112,7.7,3798
Masculin F\xe9minin (1966),Masculin F\xe9minin,1966,,,"Drama , Romance",,110,7.7,3657
O Lucky Man! (1973),O Lucky Man!,1973,,,"Comedy , Drama , Fantasy , Music",,183,7.7,3656
Lady Snowblood (1973),Lady Snowblood,1973,,,"Action , Drama , Thriller",,97,7.7,3611
Red Desert (1964),Red Desert,1964,,,Drama,,120,7.7,3554
The Prime of Miss Jean Brodie (1969),The Prime of Miss Jean Brodie,1969,,,"Comedy , Drama , Romance",,116,7.7,3522
Ju Dou (1990),Ju Dou,1990,,,Drama,,95,7.7,3504
Il Mare (2000),Il Mare,2000,,,"Drama , Fantasy , Romance",,0,7.7,3492
The Consequences of Love (2004),The Consequences of Love,2004,,,"Crime , Drama , Romance",,100,7.7,3413
A Pure Formality (1994),A Pure Formality,1994,,,"Crime , Thriller",,108,7.7,3336
The Devils (1971),The Devils,1971,,,"Biography , Drama , History , Horror",,111,7.7,3362
When Father Was Away on Business (1985),When Father Was Away on Business,1985,,,Drama,,136,7.7,3323
Lakshya (2004),Lakshya,2004,,,"War , Drama , Romance",,186,7.7,3241
Everything About Mustafa (2004),Everything About Mustafa,2004,,,"Thriller , Drama",,119,7.7,3199
Gloomy Sunday (1999),Gloomy Sunday,1999,,,"Romance , Drama",,112,7.7,2972
Tristana (1970),Tristana,1970,,,Drama,,95,7.7,2931
Divided We Fall (2000),Divided We Fall,2000,,,"Comedy , Drama , War",,120,7.7,2875
The Official Story (1985),The Official Story,1985,,,"Drama , History , Thriller , War",,112,7.7,2855
The Loneliness of the Long Distance Runner (1962),The Loneliness of the Long Distance Runner,1962,,,"Drama , Sport",,104,7.7,2845
Win Win (2011),Win Win,2011,,,"Comedy , Drama",,106,7.7,2756
Lonely Are the Brave (1962),Lonely Are the Brave,1962,,,"Drama , Western",,107,7.7,2689
Evangelion: 1.0: You Are (Not) Alone (2007),Evangelion: 1.0: You Are (Not) Alone,2007,,,"Animation , Action , Sci-Fi",,98,7.7,2641
Bliss (2007),Bliss,2007,,,Drama,,105,7.7,2673
The Magician (1958),The Magician,1958,,,Drama,,100,7.7,2612
Fullmetal Alchemist the Movie: Conqueror of Shamballa (2005),Fullmetal Alchemist the Movie: Conqueror of Shamballa,2005,,,"Animation , Action , Adventure , Drama",,105,7.7,2600
Three Wishes for Cinderella (1973),Three Wishes for Cinderella,1973,,,"Drama , Fantasy , Family , Adventure , Romance",,75,7.7,2584
The Passion of Anna (1969),The Passion of Anna,1969,,,Drama,,101,7.7,2574
The Milky Way (1969),The Milky Way,1969,,,"Comedy , Drama",,98,7.7,2546
Separate Tables (1958),Separate Tables,1958,,,"Drama , Romance",,100,7.7,2522
"Ugly, Dirty and Bad (1976)","Ugly, Dirty and Bad",1976,,,"Comedy , Drama",,115,7.7,2489
The Hidden Blade (2004),The Hidden Blade,2004,,,"Drama , Romance",,132,7.7,2447
Toto the Hero (1991),Toto the Hero,1991,,,Drama,,91,7.7,2421
Scaramouche (1952),Scaramouche,1952,,,"Adventure , Drama , History , Romance",,115,7.7,2413
Kirikou and the Sorceress (1998),Kirikou and the Sorceress,1998,,,"Animation , Adventure , Family",,74,7.7,2381
The Bird People in China (1998),The Bird People in China,1998,,,"Adventure , Comedy , Drama , Fantasy",,118,7.7,2387
Where the Sidewalk Ends (1950),Where the Sidewalk Ends,1950,,,"Crime , Film-Noir , Drama",,95,7.7,2349
Detective Story (1951),Detective Story,1951,,,"Crime , Drama , Film-Noir",,103,7.7,2328
La Promesse (1996),La Promesse,1996,,,Drama,,90,7.7,2283
The Classic (2003),The Classic,2003,,,"Drama , Romance",,127,7.7,2246
"Lacombe, Lucien (1974)","Lacombe, Lucien",1974,,,"Drama , War",,138,7.7,2201
Coup de Torchon (1981),Coup de Torchon,1981,,,"Comedy , Crime , Drama",,128,7.7,2191
The Soft Skin (1964),The Soft Skin,1964,,,"Drama , Romance",,113,7.7,2153
You Are Not Alone (1978),You Are Not Alone,1978,,,"Drama , Romance",,90,7.7,2151
Peppermint Candy (1999),Peppermint Candy,1999,,,"Drama , Romance",,130,7.7,2093
Vagabond (1985),Vagabond,1985,,,Drama,,105,7.7,2026
Memories of Matsuko (2006),Memories of Matsuko,2006,,,"Comedy , Drama , Musical , Mystery",,130,7.7,1988
Toss-Up (2004),Toss-Up,2004,,,Drama,,0,7.7,1976
"Come Back, Little Sheba (1952)","Come Back, Little Sheba",1952,,,Drama,,99,7.7,1975
Boats Out of Watermelon Rinds (2004),Boats Out of Watermelon Rinds,2004,,,"Comedy , Drama , Family , Romance",,97,7.7,1946
Summer (1986),Summer,1986,,,"Drama , Romance",,98,7.7,1929
Sawdust and Tinsel (1953),Sawdust and Tinsel,1953,,,Drama,,93,7.7,1927
Love in the Afternoon (1972),Love in the Afternoon,1972,,,Drama,,97,7.7,1928
Daens (1992),Daens,1992,,,"Biography , Drama , History",,138,7.7,1904
Silent Wedding (2008),Silent Wedding,2008,,,"Comedy , Drama",,0,7.7,1918
Gigantics (1999),Gigantics,1999,,,"Comedy , Drama , Romance , Action",,80,7.7,1903
Hababam sinifi dokuz doguruyor (1978),Hababam sinifi dokuz doguruyor,1978,,,Comedy,,0,7.7,1851
A Chinese Odyssey Part One: Pandora's Box (1994),A Chinese Odyssey Part One: Pandora's Box,1994,,,"Action , Adventure , Comedy , Fantasy , Romance",,87,7.7,1848
Close to Eden (1991),Close to Eden,1991,,,Drama,,119,7.7,1785
Tunes of Glory (1960),Tunes of Glory,1960,,,"Drama , Romance",,107,7.7,1748
"When I Grow Up, I'll Be a Kangaroo (2004)","When I Grow Up, I'll Be a Kangaroo",2004,,,Comedy,,0,7.7,1747
Hindustani (1996),Hindustani,1996,,,"Action , Drama , Musical",,185,7.7,1702
The Cruel Sea (1953),The Cruel Sea,1953,,,"Drama , War",,126,7.7,1664
After the Rain (1999),After the Rain,1999,,,Drama,,91,7.7,1635
Celine and Julie Go Boating (1974),Celine and Julie Go Boating,1974,,,"Comedy , Drama , Fantasy , Mystery",,193,7.7,1609
Victim (1961),Victim,1961,,,"Crime , Drama",,90,7.7,1573
Somersault in a Coffin (1996),Somersault in a Coffin,1996,,,Drama,,75,7.7,1544
5 Fingers (1952),5 Fingers,1952,,,"Drama , Thriller",,108,7.7,1523
Blast of Silence (1961),Blast of Silence,1961,,,"Crime , Thriller , Drama",,77,7.7,1509
Arrietty (2010),Arrietty,2010,,,"Animation , Family , Fantasy",,94,7.7,1481
Deewaar (1975),Deewaar,1975,,,"Drama , Family , Action , Crime",,174,7.7,1460
A Taste of Honey (1961),A Taste of Honey,1961,,,Drama,,100,7.7,1451
Wild River (1960),Wild River,1960,,,"Drama , Romance",,110,7.7,1441
Sounder (1972),Sounder,1972,,,"Drama , Family",,105,7.7,1441
A Peck on the Cheek (2002),A Peck on the Cheek,2002,,,"Drama , War",,0,7.7,1435
Garde \xe0 vue (1981),Garde \xe0 vue,1981,,,"Crime , Drama , Thriller",,86,7.7,1424
Sita Sings the Blues (2008),Sita Sings the Blues,2008,,,"Animation , Comedy , Fantasy , Musical , Romance",,82,7.7,1419
Parting Glances (1986),Parting Glances,1986,,,"Drama , Music , Romance",,90,7.7,1420
Poetry (2010),Poetry,2010,,,Drama,,139,7.7,1399
Distant Lights (2003),Distant Lights,2003,,,Drama,,105,7.7,1361
Spider-Man 2 (2004),Spider-Man 2,2004,,,"Action , Crime , Fantasy , Thriller",,127,7.6,163218
Ocean's Eleven (2001),Ocean's Eleven,2001,,,"Crime , Thriller",,116,7.6,161395
28 Days Later... (2002),28 Days Later...,2002,,,"Horror , Sci-Fi , Thriller",,113,7.6,123276
Batman (1989),Batman,1989,,,"Action , Crime , Thriller",,126,7.6,124430
The Bourne Supremacy (2004),The Bourne Supremacy,2004,,,"Action , Crime , Thriller",,108,7.6,123504
Sweeney Todd: The Demon Barber of Fleet Street (2007),Sweeney Todd: The Demon Barber of Fleet Street,2007,,,"Drama , Horror , Musical , Thriller",,116,7.6,123106
Moulin Rouge! (2001),Moulin Rouge!,2001,,,"Drama , Musical , Romance",,127,7.6,117857
Babel (2006),Babel,2006,,,Drama,,143,7.6,108290
