title_year,title,year,description,language,genres,stars,formatted_length,ratings,votes
The Shawshank Redemption (1994),The Shawshank Redemption,1994,,,"Crime , Drama",,142,9.2,619479
The Godfather (1972),The Godfather,1972,,,"Crime , Drama",,175,9.2,474189
Pulp Fiction (1994),Pulp Fiction,1994,,,"Crime , Thriller",,154,9,490065
The Godfather: Part II (1974),The Godfather: Part II,1974,,,"Crime , Drama",,200,9,291169
"The Good, the Bad and the Ugly (1966)","The Good, the Bad and the Ugly",1966,,,Western,,161,9,195238
Outrageous Class (1975),Outrageous Class,1975,,,"Comedy , Drama",,87,9,9823
Inception (2010),Inception,2010,,,"Action , Adventure , Sci-Fi , Thriller",,148,8.9,385149
Schindler's List (1993),Schindler's List,1993,,,"Biography , Drama , History , War",,195,8.9,325888
The Dark Knight (2008),The Dark Knight,2008,,,"Action , Crime , Drama , Thriller",,152,8.9,555122
One Flew Over the Cuckoo's Nest (1975),One Flew Over the Cuckoo's Nest,1975,,,Drama,,133,8.9,255503
12 Angry Men (1957),12 Angry Men,1957,,,"Drama , Mystery",,96,8.9,148155
Fight Club (1999),Fight Club,1999,,,"Drama , Mystery , Thriller",,139,8.8,458173
Star Wars: Episode V - The Empire Strikes Back (1980),Star Wars: Episode V - The Empire Strikes Back,1980,,,"Action , Adventure , Family , Sci-Fi",,124,8.8,320105
Goodfellas (1990),Goodfellas,1990,,,"Biography , Crime , Drama , Thriller",,146,8.8,270728
The Lord of the Rings: The Fellowship of the Ring (2001),The Lord of the Rings: The Fellowship of the Ring,2001,,,"Action , Adventure , Drama , Fantasy",,178,8.8,451263
The Lord of the Rings: The Return of the King (2003),The Lord of the Rings: The Return of the King,2003,,,"Action , Adventure , Drama , Fantasy",,201,8.8,428791
Star Wars: Episode IV - A New Hope (1977),Star Wars: Episode IV - A New Hope,1977,,,"Action , Adventure , Family , Fantasy , Sci-Fi",,121,8.8,364211
City of God (2002),City of God,2002,,,"Crime , Drama",,130,8.8,199917
Seven Samurai (1954),Seven Samurai,1954,,,"Adventure , Drama",,207,8.8,111707
Once Upon a Time in the West (1968),Once Upon a Time in the West,1968,,,Western,,175,8.8,89764
The Matrix (1999),The Matrix,1999,,,"Action , Adventure , Sci-Fi",,136,8.7,448114
Forrest Gump (1994),Forrest Gump,1994,,,"Comedy , Drama , Romance",,142,8.7,368994
The Usual Suspects (1995),The Usual Suspects,1995,,,"Crime , Mystery , Thriller",,106,8.7,306624
The Silence of the Lambs (1991),The Silence of the Lambs,1991,,,"Crime , Thriller",,118,8.7,293081
The Lord of the Rings: The Two Towers (2002),The Lord of the Rings: The Two Towers,2002,,,"Action , Adventure , Drama , Fantasy",,179,8.7,383113
Se7en (1995),Se7en,1995,,,"Crime , Drama , Mystery , Thriller",,127,8.7,337198
Memento (2000),Memento,2000,,,"Crime , Drama , Mystery , Thriller",,113,8.7,325663
Raiders of the Lost Ark (1981),Raiders of the Lost Ark,1981,,,"Action , Adventure",,115,8.7,277941
Psycho (1960),Psycho,1960,,,"Horror , Mystery , Thriller",,109,8.7,168286
Rear Window (1954),Rear Window,1954,,,"Mystery , Romance , Thriller",,112,8.7,137663
Sunset Blvd. (1950),Sunset Blvd.,1950,,,"Drama , Film-Noir",,110,8.7,64363
My Father and My Son (2005),My Father and My Son,2005,,,Drama,,108,8.7,14080
Tosun Pasa (1976),Tosun Pasa,1976,,,"Comedy , History",,90,8.7,6559
American Beauty (1999),American Beauty,1999,,,Drama,,122,8.6,338332
Leon: The Professional (1994),Leon: The Professional,1994,,,"Crime , Drama , Thriller",,110,8.6,244568
Terminator 2: Judgment Day (1991),Terminator 2: Judgment Day,1991,,,"Action , Sci-Fi , Thriller",,137,8.6,280590
American History X (1998),American History X,1998,,,"Crime , Drama",,119,8.6,270082
Apocalypse Now (1979),Apocalypse Now,1979,,,"Drama , War",,153,8.6,198861
Taxi Driver (1976),Taxi Driver,1976,,,"Drama , Thriller",,113,8.6,186983
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,,,"Comedy , Drama",,95,8.6,174723
Toy Story 3 (2010),Toy Story 3,2010,,,"Animation , Adventure , Comedy , Family , Fantasy",,103,8.6,144200
Spirited Away (2001),Spirited Away,2001,,,"Animation , Adventure , Family , Fantasy",,125,8.6,125718
North by Northwest (1959),North by Northwest,1959,,,"Adventure , Drama , Mystery , Romance , Thriller",,131,8.6,106359
Paths of Glory (1957),Paths of Glory,1957,,,"Crime , Drama , War",,88,8.6,52498
A Separation (2011),A Separation,2011,,,Drama,,120,8.6,11954
Who Sings Over There (1980),Who Sings Over There,1980,,,Comedy,,86,8.6,3868
WALL\xb7E (2008),WALL\xb7E,2008,,,"Animation , Adventure , Family , Romance , Sci-Fi",,98,8.5,229364
Saving Private Ryan (1998),Saving Private Ryan,1998,,,"Action , Drama , History , War",,169,8.5,317912
The Departed (2006),The Departed,2006,,,"Crime , Mystery , Thriller",,151,8.5,315448
Eternal Sunshine of the Spotless Mind (2004),Eternal Sunshine of the Spotless Mind,2004,,,"Drama , Romance , Sci-Fi",,108,8.5,260298
A Clockwork Orange (1971),A Clockwork Orange,1971,,,"Crime , Drama , Sci-Fi",,136,8.5,225495
Am\xe9lie (2001),Am\xe9lie,2001,,,"Comedy , Fantasy , Romance",,122,8.5,215732
Aliens (1986),Aliens,1986,,,"Action , Adventure , Sci-Fi , Thriller",,137,8.5,194734
Requiem for a Dream (2000),Requiem for a Dream,2000,,,Drama,,102,8.5,220783
The Shining (1980),The Shining,1980,,,"Drama , Horror , Mystery",,0,8.5,212988
Alien (1979),Alien,1979,,,"Horror , Sci-Fi",,117,8.5,209880
The Pianist (2002),The Pianist,2002,,,"Biography , Drama , War",,150,8.5,162990
Life Is Beautiful (1997),Life Is Beautiful,1997,,,"Comedy , Drama , Romance , War",,116,8.5,131578
Vertigo (1958),Vertigo,1958,,,"Crime , Mystery , Romance , Thriller",,128,8.5,105551
To Kill a Mockingbird (1962),To Kill a Mockingbird,1962,,,"Crime , Drama , Mystery",,129,8.5,93918
The Lives of Others (2006),The Lives of Others,2006,,,"Drama , Thriller",,137,8.5,92399
Lawrence of Arabia (1962),Lawrence of Arabia,1962,,,"Adventure , Biography , Drama , History , War",,216,8.5,89628
Das Boot (1981),Das Boot,1981,,,"Action , Drama , History , War",,149,8.5,79188
Harry Potter and the Deathly Hallows: Part 2 (2011),Harry Potter and the Deathly Hallows: Part 2,2011,,,"Adventure , Drama , Fantasy , Mystery",,130,8.5,60422
Cinema Paradiso (1988),Cinema Paradiso,1988,,,Drama,,155,8.5,54278
All About Eve (1950),All About Eve,1950,,,Drama,,138,8.5,39729
The Foster Brothers (1976),The Foster Brothers,1976,,,Comedy,,0,8.5,4670
